                2010                   2                   0                   2                   2                   0                   2                   1                   0                   0                   1                   2                   1                   1                  98                   1                   1                   0                   1                   3                  45                  14                  12                   1                   0
                2010                   2                   0                   2                   1                  40                   2                   1                   0                   0                   3                   2                   1                   2                  99                   1                   1                   0                   1                   2                  50                  12                  14                   1                   0
                2010                   2                   0                   2                   2                   0                   2                   1                   0                   0                   2                   2                   1                   3                 100                   2                   1                   0                   5                   2                  69                  16                  16                   4                   0
                2010                   2                   0                   2                   2                   0                   2                   2                   0                   0                   1                   2                   3                   1                 102                   2                   1                   0                   7                   1                  31                  11                  10                   1                   0
                2010                   2                   0                   2                   2                   0                   2                   1                   0                   0                   2                   2                   1                   1                 103                   1                   1                   0                   1                   2                  59                  12                  12                   1                   0
                2010                   1                  50                   3                   1                  38                   2                   3                   0                   0                   2                   2                   1                   3                 105                   1                   1                   0                   1                   0                  51                  16                  16                   3                   0
                2010                   3                   0                   3                   3                   0                   3                   1                   0                   0                   1                   2                   1                   4                 108                   2                   1                   0                   1                   0                  50                  16                  18                   3                   0
                2010                   3                   0                   3                   3                   0                   3                   2                   0                   0                   1                   2                   1                   1                 109                   1                   1                   0                   1                   2                  51                  16                  14                   3                   0
                2010                   4                   0                   3                   4                   0                   3                   1                   0                   0                   1                   2                   1                   3                 110                   1                   1                   0                   1                   3                  43                  18                  16                   4                   0
                2010                   2                   0                   2                   2                   0                   2                   9                   0                   0                   3                   2                   1                   3                 112                   7                   1                   0                   1                   2                  35                  16                  16                   3                   0
                2010                   3                   0                   3                   3                   0                   3                   2                   0                   0                   3                   2                   1                   4                 113                   1                   1                   0                   1                   3                  64                  16                  18                   4                   0
                2010                   2                   0                   2                   2                   0                   2                   1                   0                   0                   2                   2                   1                   4                 117                   1                   1                   0                   8                   1                  36                  16                  17                   3                   0
                2010                   2                   0                   2                   2                   0                   2                   2                   0                   0                   1                   9                   3                   0                 120                   2                   1                   0                   1                   2                  33                  12                   9                   1                   0
                2010                   2                   0                   2                   2                   0                   2                   2                   0                   0                   3                   9                   3                   0                 123                   2                   1                   0                   2                   3                  36                  11                   9                   0                   0
                2010                   1                  70                   2                   4                   0                   3                   1                   0                   0                   3                   9                   1                   2                 125                   1                   1                   0                   1                   0                  32                  12                  14                   1                   0
                2010                   1                  70                   2                   2                   0                   2                   1                   0                   0                   3                   9                   1                   3                 127                   1                   1                   0                   2                   1                  63                  13                  16                   1                   0
                2010                   4                   0                   3                   4                   0                   3                   2                   0                   0                   2                   9                   1                   4                 128                   5                   1                   0                   5                   3                  80                  18                  18                   3                   0
                2010                   2                   0                   2                   1                  18                   1                   1                   0                   0                   1                   9                   1                   3                 129                   1                   1                   0                   1                   1                  72                  18                  19                   3                   0
                2010                   1                  18                   1                   1                  18                   1                   2                   0                   0                   2                   9                   3                   1                 130                   2                   1                   0                   1                   2                  24                  10                  12                   0                   0
                2010                   9                   0                   9                   4                   0                   3                   2                   0                   0                   3                   9                   1                   3                 131                   7                   1                   0                   1                   3                  37                  16                  16                   3                   0
                2010                   1                  60                   1                   1                  60                   1                   2                   0                   0                   1                   9                   1                   1                 132                   1                   1                   0                   7                   2                  45                   8                  12                   0                   0
                2010                   4                   0                   3                   1                  38                   2                   2                   0                   0                   3                   9                   1                   1                 134                   1                   1                   0                   1                   3                  49                  16                  14                   4                   0
