#Name of Area,Total Population,Population Density (per sq. mile),Total Population:,Total Population: Male,Total Population: Female,Median Age:,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More races,Total Population: Hispanic or Latino,Population 25 Years and over:,Population 25 Years and over: Less Than High School,Population 25 Years and over: High School Graduate (includes equivalency),Population 25 Years and over: Some college,Population 25 Years and over: Bachelor's degree,Population 25 Years and over: Master's degree,Population 25 Years and over: Professional school degree,Population 25 Years and over: Doctorate degree,Civilian Population In Labor Force 16 Years And Over:,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Civilian Male In Labor Force 16 Years And Over:,Civilian Male In Labor Force 16 Years And Over: Employed,Civilian Male In Labor Force 16 Years And Over: Unemployed,Civilian Female In Labor Force 16 Years And Over:,Civilian Female In Labor Force 16 Years And Over: Employed,Civilian Female In Labor Force 16 Years And Over: Unemployed,Median household income (In 2012 Inflation Adjusted Dollars),Gini Index,Population Under 18 Years of Age for whom poverty status is determined:,Population Under 18 Years of Age for whom poverty status is determined: Living in Poverty,Population Under 18 Years of Age for whom poverty status is determined: At or Above Poverty Level,Population Age 18 to 64 for whom poverty status  is determined:,Population Age 18 to 64 for whom poverty status  is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status  is determined: At or Above Poverty Level,Population Age 65 and Over for whom poverty  status is determined:,Population Age 65 and Over for whom poverty  status is determined: Living In Poverty,Population Age 65 and Over for whom poverty  status is determined: At or Above Poverty Level
State,TotalPop,PopDensity,SE_T004_001,SE_T004_002,SE_T004_003,MedianAge,SE_T014_001,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T038_001,SE_T038_002,SE_T038_003,SE_T039_001,SE_T039_002,SE_T039_003,MedianIncomeHH,Gini,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003
Idaho,1567803,18.97076,1567803,785954,781849,34.7,1567803,1316166,8121,15761,18524,1983,1458,30278,175512,986172,112350,275678,354433,167268,52555,13796,10092,763991,698702,65289,414797,376302,38495,349194,322400,26794,47015,0.4281,419144,79431,339713,925577,136791,788786,192337,15382,176955
Illinois,12823860,230.9818,12823860,6291373,6532487,36.6,12823860,8149479,1834505,14509,590488,2471,20344,184680,2027384,8459947,1102449,2301245,2426909,1632885,721913,179995,94551,6699317,6035426,663891,3514217,3144981,369236,3185100,2890445,294655,56853,0.4681,3072262,591414,2480848,7891401,985459,6905942,1559063,133592,1425471
Indiana,6485530,181.028,6485530,3192018,3293512,37,6485530,5284553,574702,12511,101980,1230,9253,112207,389094,4229138,549930,1498095,1209106,623200,252486,56453,39868,3288210,2978847,309363,1728512,1557127,171385,1559698,1421720,137978,48374,0.4396,1571577,328300,1243277,3904620,538920,3365700,811385,59903,751482
Iowa,3047646,54.56145,3047646,1507335,1540311,38,3047646,2700729,86578,7310,53625,1269,2144,44964,151027,2013629,187633,666739,649313,353091,108259,29074,19520,1649007,1557331,91676,861892,809597,52295,787115,747734,39381,51129,0.4299,712573,113337,599236,1804763,214959,1589804,431162,32374,398788
Kansas,2851183,34.87314,2851183,1414881,1436302,36,2851183,2229454,160020,19602,68188,1515,2401,71367,298636,1838079,188859,511212,586634,359569,139733,32598,19474,1496139,1395634,100505,786364,731278,55086,709775,664356,45419,51273,0.4454,709315,126635,582680,1698582,212127,1486455,359384,26894,332490
Kentucky,4340167,109.9157,4340167,2134355,2205812,38,4340167,3746258,335145,7224,49250,2203,4061,64987,131039,2902296,510196,988008,795165,361888,175964,46933,24142,2054159,1859549,194610,1074835,966467,108368,979324,893082,86242,42610,0.4666,1000963,257124,743839,2649004,455986,2193018,559894,68375,491519
Louisiana,4529605,104.8425,4529605,2215673,2313932,35.9,4529605,2732796,1441082,25297,70914,1606,6923,58405,192582,2940298,523958,1008396,778029,420395,139731,45076,24713,2175983,1993119,182864,1134075,1035742,98333,1041908,957377,84531,44673,0.479,1099463,292419,807044,2759784,461181,2298603,541514,67624,473890
Maine,1329084,43.09203,1329084,650219,678865,42.8,1329084,1254741,13682,6936,13744,284,550,21906,17241,938624,88276,321100,272783,164915,64897,16351,10302,703653,651335,52318,361142,330501,30641,342511,320834,21677,48219,0.44,267339,48276,219063,820011,105220,714791,206115,18148,187967
Maryland,5785496,595.9979,5785496,2798875,2986621,37.9,5785496,3163295,1675532,12165,321501,2166,13605,124947,472285,3875282,445826,1008437,1012698,774417,429563,113722,90619,3171064,2924344,246720,1602819,1469876,132943,1568245,1454468,113777,72999,0.4444,1330756,162813,1167943,3622541,315957,3306584,692093,53346,638747
Massachusetts,6560595,841.0956,6560595,3174988,3385607,39.1,6560595,5006403,407341,7962,355459,1290,42114,109620,630406,4465898,484887,1156650,1083895,989299,523662,125268,102237,3608505,3302990,305515,1844321,1671480,172841,1764184,1631510,132674,66658,0.4741,1399687,195519,1204168,4062559,421883,3640676,871132,80884,790248
