                2016                   3                   2                   2                   2                   2                  57                   3                   7                  14
                2016                   0                   2                   3                   2                   1                  72                   3                   7                  24
                2016                   7                   2                   1                   1                   1                  68                   0                   5                  15
                2016                   3                   2                   1                   1                   1                  50                   0                   1                  22
                2016                   0                   2                   1                   1                   1                  40                   0                   1                  24
                2016                   0                   2                   1                   1                   1                  58                   0                   1                  19
                2016                   0                   2                   1                   1                   1                  43                   0                   1                  13
                2016                   7                   2                   2                   2                   1                  25                   0                   1                   6
                2016                   1                   2                   1                   3                   1                  33                   0                   1                  17
                2016                   0                   2                   2                   1                   1                  27                   0                   2                  26
                2016                   7                   2                   4                   2                   2                  58                   2                   1                  19
                2016                   5                   2                   2                   1                   2                  66                   4                   5                  23
                2016                   0                   2                   1                   1                   1                  66                   0                   5                   2
                2016                   4                   2                   1                   1                   2                  89                   2                   5                  98
                2016                   0                   2                   3                   3                   2                  29                   2                   1                  20
                2016                   7                   2                   2                   1                   2                  89                   0                   5                  10
                2016                   7                   2                   1                   1                   2                  78                   0                   5                  16
                2016                   5                   2                   1                   1                   2                  52                   3                   4                   9
                2016                   2                   2                   1                   1                   1                  50                   0                   5                  10
                2016                   8                   2                   2                   1                   2                  25                   1                   2                  17
                2016                   0                   2                   4                   1                   1                  37                   2                   1                  24
                2016                   0                   2                   3                   1                   2                  54                   2                   1                  27
                2016                   7                   2                   2                   3                   1                  52                   3                   1                  27
                2016                   0                   2                   2                   1                   1                  48                   0                   1                  26
                2016                   2                   2                   2                   3                   2                  32                   0                   1                  27
                2016                   5                   2                   1                   1                   2                  29                   0                   2                   1
                2016                   2                   2                   3                   1                   2                  75                   3                   5                  23
                2016                   7                   2                   2                   1                   2                  59                   0                   1                  26
                2016                   2                   2                   2                   1                   1                  81                   2                   5                  21
                2016                   1                   2                   2                   1                   2                  69                   3                   5                  27
                2016                   2                   2                   4                   1                   2                  55                   2                   1                  26
                2016                   4                   2                   1                   1                   2                  52                   0                   2                  21
                2016                   3                   2                   2                   1                   2                  33                   1                   2                  27
                2016                   2                   2                   3                   1                   1                  56                   2                   1                  26
                2016                   0                   2                   2                   1                   1                  71                   2                   5                  22
                2016                   6                   2                   3                   1                   1                  21                   0                   6                  26
                2016                   2                   2                   3                   1                   2                  49                   3                   1                  24
                2016                   4                   2                   2                   1                   1                  26                   0                   1                  26
                2016                   2                   2                   1                   1                   2                  33                   0                   1                  20
                2016                   7                   2                   2                   1                   1                  36                   0                   1                  23
                2016                   4                   2                   1                   2                   1                  68                   0                   5                  20
                2016                   2                   2                   1                   2                   2                  27                   2                   1                  20
                2016                   8                   2                   1                   2                   2                  60                   1                   7                  10
                2016                   1                   2                   1                   1                   1                  48                   0                   1                  19
                2016                   5                   2                   4                   2                   2                  47                   3                   1                  19
                2016                   2                   2                   1                   1                   2                  36                   0                   1                  27
                2016                   0                   2                   1                   1                   2                  89                   2                   5                  11
                2016                   2                   1                   2                   1                   2                  64                   2                   5                  10
                2016                   0                   1                   2                   1                   2                  38                   0                   1                  25
                2016                   5                   1                   2                   1                   1                  62                   1                   5                  20
                2016                   5                   1                   2                   1                   2                  62                   3                   7                  22
                2016                   2                   1                   2                   1                   2                  65                   5                   7                  27
                2016                   1                   1                   2                   1                   1                  60                   2                   1                  98
