"PUBID","YSAQ-007","YSAQ-009","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_URBAN-RURAL","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","FP_YHROUTIN","YPOL-105","YPOL-110","CVC_HIGHEST_DEGREE_EVER"
66,-4,-4,1,10,1980,0,2,-3,413500,10,1,12,-3,-4,18,-4,2,2,7
67,-4,-4,1,11,1980,0,2,-3,413500,4,1,12,18,-4,18,-4,3,1,6
68,-4,-4,1,1,1981,0,2,-3,413500,10,1,12,-4,-4,18,-4,3,2,2
69,-4,-4,2,7,1981,0,2,-3,-3,1,1,12,16,12,16,-4,2,4,4
70,1,0,1,8,1982,0,2,-3,-3,1,1,12,16,12,16,7,2,1,4
71,-4,-4,1,1,1980,0,2,26015,18800,8,1,14,14,-4,-4,-4,3,1,2
72,1,1,2,4,1982,0,2,-4,-4,1,1,12,11,12,11,11,2,4,3
73,1,3,1,10,1984,0,2,-4,-4,1,1,12,11,12,11,17,2,1,2
74,6,1,1,7,1983,0,1,-3,-3,1,1,-3,-3,-3,-3,14,-5,-5,7
75,7,0,1,1,1982,0,4,-4,-4,5,1,8,-3,8,-4,7,2,1,2
76,7,0,1,1,1982,0,4,-4,-4,5,1,8,-3,8,-4,14,2,1,2
77,7,7,2,11,1984,1,2,35500,3750,1,1,12,12,12,12,28,2,3,2
78,-4,-4,2,7,1981,0,1,-3,-3,4,1,-4,-3,-4,-3,-4,2,4,3
79,6,2,1,12,1983,1,1,-3,-3,5,1,14,11,14,-4,16,3,2,1
80,-4,-4,1,6,1981,0,2,30000,-3,4,1,14,12,-4,12,-4,4,4,1
81,5,3,2,1,1984,0,2,4810,500,4,1,12,12,-4,12,14,2,4,0
82,7,-2,1,7,1984,1,5,-3,-3,4,1,-4,-3,-4,-3,15,-5,-5,4
83,-4,-4,1,9,1981,1,5,-3,3750,4,1,12,6,-4,6,-4,4,1,1
84,5,-2,2,2,1984,1,5,-3,3750,4,1,12,6,-4,6,12,-5,-5,2
85,5,1,1,2,1984,0,1,12000,8000,4,1,12,12,-4,12,8,2,1,2
86,-4,-4,2,10,1980,0,1,-3,12240,1,1,12,12,12,12,-4,1,4,5
87,6,2,1,5,1984,1,1,42500,15750,1,1,14,12,14,12,14,2,3,2
88,-4,-4,1,1,1981,0,1,-4,-4,1,1,12,12,12,12,-4,-5,-5,2
89,-4,-4,1,11,1981,0,1,-4,-4,1,1,6,6,6,6,-4,1,4,5
90,-4,-4,1,11,1981,1,2,-3,-3,1,1,12,16,12,16,-4,4,2,3
91,7,0,2,9,1982,1,2,-3,-3,1,1,12,16,12,16,17,2,4,4
92,7,0,1,4,1983,0,3,37600,3000,1,1,12,10,12,10,13,3,1,2
93,7,2,1,9,1983,1,1,29000,-3,1,1,12,8,12,8,14,3,1,2
94,-4,-4,2,9,1980,0,2,17500,-3,4,1,12,10,-4,10,-4,2,4,3
