"SCH_YEAR_TO_GRADE_1997","PUBID","YSCH-5000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!RACE","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_SAMPLE_TYPE","KEY!RACE_ETHNICITY","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","VERSION_R16","CVC_HGC_EVER","CVC_HIGHEST_DEGREE_EVER","CVC_HS_LEFT_DATE","CVC_HS_LEFT_HGC","CVC_HS_LEFT_HGA"
10,30,9,1,6,1981,1,194,16,-3,1,212,1,4,211,17,-4,4,229,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10,0,229,10,11
10,31,8,1,7,1982,4,175,14,-4,1,206,1,4,198,16,-4,1,229,209,17,-4,1,240,-3,1,255,92060,1,265,59500,1,276,429,16,4,246,12,12
11,32,9,2,7,1981,1,189,15,-4,1,208,1,4,211,17,-4,1,230,221,18,155000,1,240,-5,-5,-5,285805,1,265,-3,1,276,429,18,4,234,12,12
12,33,11,2,12,1980,1,199,16,-3,1,211,1,4,217,18,75250,1,229,228,18,-2,1,240,112500,1,252,-3,1,265,145250,1,277,429,16,4,222,12,12
8,34,6,2,12,1984,1,149,12,9800,1,209,1,4,169,14,-4,1,229,180,15,-4,1,240,-4,1,253,-4,1,264,-4,1,277,429,17,4,270,12,12
8,35,7,1,1,1983,4,175,14,-4,1,212,1,4,193,16,-4,1,230,202,16,-4,1,239,-4,1,253,-4,1,264,11000,4,276,429,16,4,270,12,12
12,36,10,2,8,1980,1,198,16,40500,1,206,1,4,221,18,35000,10,229,234,19,-2,1,242,-3,10,253,-3,10,265,7500,10,277,429,14,2,222,12,12
12,37,11,2,11,1980,1,198,16,47500,1,209,1,4,219,18,65000,1,230,231,19,17500,1,242,75000,1,254,37500,1,264,75000,1,277,429,17,4,222,12,12
11,38,10,2,9,1981,1,190,15,47500,1,211,1,4,209,17,-4,1,230,221,18,-2,1,242,-3,1,254,52500,1,264,45000,1,277,429,16,4,234,12,12
12,39,10,1,2,1980,1,204,16,-3,1,206,1,2,229,19,77500,1,231,237,19,100000,1,239,113000,1,253,-3,1,265,100000,1,277,429,16,4,222,12,12
7,40,5,2,5,1984,4,153,12,-4,1,206,1,4,176,14,-4,1,229,185,15,-4,1,238,-4,1,253,-4,1,264,-4,1,275,-5,13,2,282,11,12
9,41,7,2,1,1983,4,169,14,-4,1,206,1,4,192,16,-4,1,229,201,16,-4,1,238,-4,1,253,34000,1,264,27500,1,275,429,17,4,253,12,12
8,42,6,1,8,1983,4,162,13,-4,1,206,1,4,185,15,-4,1,229,194,16,-4,1,238,-4,1,253,-4,1,264,22500,1,276,-5,17,4,270,12,12
11,43,9,2,10,1981,2,187,15,-3,4,209,1,1,207,17,-4,4,229,219,18,-4,4,241,-3,10,254,-5,-5,-5,-3,10,279,429,13,1,241,11,12
11,44,10,1,12,1981,2,186,15,0,1,210,1,2,206,17,-4,1,230,216,18,-4,1,240,17500,1,253,0,1,265,20000,1,276,429,13,2,253,12,12
8,45,6,2,2,1984,2,160,13,-3,4,210,1,1,180,15,0,4,230,192,16,-4,7,242,0,10,256,0,10,266,2500,10,276,429,13,3,282,11,12
-4,46,5,1,2,1984,2,160,13,-3,4,210,1,1,180,15,0,4,230,190,15,-4,4,240,0,10,253,0,10,264,-3,4,276,429,95,1,287,10,11
10,47,8,2,9,1982,2,176,14,5500,8,209,1,1,195,16,500,8,228,207,17,-4,8,240,6000,8,253,-3,4,266,10000,8,276,429,14,2,246,12,12
9,48,7,2,7,1983,2,166,13,5500,8,209,1,1,185,15,38500,8,228,197,16,-4,8,240,-3,8,254,-3,8,266,-3,8,276,429,16,4,258,12,12
10,49,8,2,12,1982,2,172,14,-3,2,208,1,1,191,15,-4,2,227,205,17,-4,2,241,37500,2,253,-3,2,266,37500,2,278,429,12,2,246,12,12
