                2012                   3                   0                   3                   1                   2                   0                   0                   4                   2                   1                   1                  16                  44                   1                  83                   1
                2012                   3                   2                   3                   2                   2                   0                   0                   4                   2                   1                   2                  12                  64                   5                  85                   2
                2012                   0                   2                   4                   3                   2                   0                   0                   4                   2                   2                   2                  17                  28                   5                  88                   1
                2012                   0                   2                   1                   1                   2                  45                  60                   1                   2                   3                   1                  14                  32                   1                  90                   2
                2012                   3                   2                   2                   3                   2                  77                  60                   1                   2                   3                   2                  18                  54                   1                  91                   1
                2012                   3                   0                   4                   2                   2                   0                   0                   4                   2                   2                   2                  20                  34                   5                  92                   1
                2012                   3                   0                   3                   3                   2                   0                   0                   4                   2                   3                   2                  16                  33                   1                  93                   2
                2012                   3                   0                   8                   2                   2                   0                   0                   2                   2                   1                   2                  12                  48                   4                  94                   1
                2012                   3                   1                   3                   2                   2                   0                   0                   2                   2                   2                   2                  10                  52                   3                  95                   2
                2012                   3                   0                   3                   2                   2                   0                   0                   8                   2                   3                   2                  13                  19                   5                  98                   1
                2012                   3                   1                   2                   3                   2                   0                   0                   4                   2                   3                   1                  16                  41                   3                  99                   1
                2012                   3                   0                   3                   1                   2                   0                   0                   2                   2                   1                   2                  17                  23                   5                 100                   1
                2012                   3                   1                   2                   3                   2                   0                   0                   9                   2                   1                   1                  12                  51                   3                 101                   2
                2012                   3                   2                   3                   2                   2                   0                  70                   1                   2                   1                   2                  16                  75                   5                 102                   1
                2012                   0                   0                   4                   3                   8                   0                   0                   4                   2                   1                   1                  14                  24                   5                 105                   2
                2012                   3                   0                   3                   2                   2                   0                   0                   2                   2                   3                   1                  20                  26                   5                 106                   1
                2012                   0                   2                   2                   3                   2                 181                  60                   1                   2                   1                   2                  13                  55                   3                 108                   1
                2012                   3                   1                   3                   2                   2                   0                  70                   1                   2                   2                   2                  18                  55                   3                 109                   2
                2012                   1                   0                   4                   1                   2                   0                   0                   2                   2                   1                   1                  17                  43                   5                 110                   2
                2012                   3                   2                   4                   2                   2                   0                   0                   2                   2                   3                   2                  16                  32                   1                 113                   1
                2012                   3                   0                   3                   2                   2                   0                  18                   1                   1                   1                   2                  12                  50                   5                 115                   1
                2012                   3                   3                   3                   1                   2                   0                  31                   1                   1                   1                   1                  12                  60                   3                 116                   2
                2012                   3                   2                   2                   1                   1                   0                   0                   2                   1                   1                   2                  14                  33                   1                 117                   1
                2012                   3                   0                   4                   1                   2                   0                   0                   4                   1                   1                   2                  18                  40                   1                 118                   2
                2012                   3                   0                   3                   2                   2                   0                   0                   2                   1                   1                   2                  14                  69                   2                 120                   1
                2012                   3                   0                   3                   3                   2                   0                   0                  10                   9                   1                   1                  18                  71                   1                 121                   2
                2012                   3                   0                   2                   1                   2                   0                   0                   4                   9                   1                   1                  16                  28                   5                 123                   2
                2012                   3                   2                   3                   2                   1                   0                  70                   1                   9                   2                   1                  12                  49                   3                 124                   2
                2012                   3                   0                   3                   1                   2                   0                   0                   2                   9                   1                   2                  16                  66                   4                 125                   2
                2012                   3                   2                   3                   2                   2                   0                   0                   2                   9                   1                   1                  19                  53                   1                 127                   1
                2012                   3                   0                   3                   3                   2                   0                   0                  11                   9                   1                   2                  12                  34                   5                 129                   2
                2012                   0                   8                   2                   3                   8                   0                   0                   2                   9                   1                   1                   6                  58                   1                 130                   2
                2012                   3                   0                   3                   2                   2                   0                   0                   2                   9                   1                   2                  12                  24                   1                 132                   1
                2012                   0                   2                   2                   3                   2                  64                  60                   1                   9                   1                   2                   6                  72                   3                 133                   2
                2012                   3                   0                   3                   1                   2                   0                   0                   4                   9                   2                   1                  16                  29                   5                 135                   2
                2012                   3                   2                   3                   2                   2                   0                  11                   1                   9                   2                   2                  13                  36                   5                 137                   2
                2012                   3                   2                   3                   2                   1                   0                   0                   4                   9                   3                   2                  16                  49                   1                 139                   2
                2012                   3                   1                   4                   2                   2                   0                   0                   4                   9                   3                   1                  16                  60                   3                 140                   1
                2012                   3                   0                   3                   2                   1                   0                   0                  11                   9                   2                   2                  14                  39                   5                 142                   2
                2012                   3                   0                   3                   3                   2                   0                  70                   1                   9                   1                   1                  16                  73                   3                 143                   2
                2012                   3                   2                   3                   2                   2                   0                   0                   2                   9                   2                   2                  14                  64                   5                 146                   2
                2012                   3                   0                   3                   2                   2                   0                   0                   2                   9                   1                   2                  14                  61                   1                 147                   2
                2012                   2                   0                   1                   2                   1                   0                   0                   4                   9                   1                   1                   6                  22                   5                 148                   1
                2012                   3                   4                   2                   2                   2                   0                   0                   2                   9                   1                   1                  14                  41                   4                 150                   1
                2012                   3                   0                   2                   2                   1                   0                   0                   4                   9                   1                   2                   9                  33                   5                 151                   2
                2012                   3                   0                   2                   2                   2                   0                   0                   2                   9                   3                   1                  11                  22                   5                 153                   1
                2012                   0                   1                   2                   2                   1                   0                   0                   2                   9                   3                   2                   6                  42                   1                 154                   2
                2012                   3                   2                   2                   2                   2                   0                  38                   1                   9                   1                   2                  14                  66                   2                 156                   2
                2012                   3                   0                   3                   1                   2                   0                   0                   2                   9                   1                   1                  12                  52                   5                 158                   2
                2012                   3                   0                   3                   3                   8                   0                   0                   4                   9                   1                   1                  13                  31                   5                 160                   2
                2012                   3                   0                   4                   2                   2                   0                  70                   1                   9                   3                   1                  17                  50                   4                 162                   1
                2012                   3                   8                   2                   2                   1                   0                   0                   3                   9                   1                   1                  13                  62                   1                 165                   2
